Munic°pio;UF
JosÇ Bonif†cio;SP
J£lio Mesquita;SP
Jumirim;SP
Jundia°;SP
Junqueir¢polis;SP
Juqui†;SP
Juquitiba;SP
Lagoinha;SP
Laranjal Paulista;SP
Lav°nia;SP
Lavrinhas;SP
Leme;SP
Lená¢is Paulista;SP
Limeira;SP
Lind¢ia;SP
Lins;SP
Lorena;SP
Lourdes;SP
Louveira;SP
LucÇlia;SP
Lucian¢polis;SP
Lu°s Antìnio;SP
LuiziÉnia;SP
LupÇrcio;SP
LutÇcia;SP
Macatuba;SP
Macaubal;SP
Macedìnia;SP
Magda;SP
Mairinque;SP
Mairipor∆;SP
Manduri;SP
Marab† Paulista;SP
Maraca°;SP
Marapoama;SP
Mari†polis;SP
Mar°lia;SP
Marin¢polis;SP
Martin¢polis;SP
Mat∆o;SP
Mau†;SP
Mendonáa;SP
Meridiano;SP
Mes¢polis;SP
Miguel¢polis;SP
Mineiros do Tietà;SP
Miracatu;SP
Mira Estrela;SP
Mirand¢polis;SP
Mirante do Paranapanema;SP
Mirassol;SP
MirassolÉndia;SP
Mococa;SP
Moji Das Cruzes;SP
Mogi Guaáu;SP
Moji-mirim;SP
Mombuca;SP
Moná‰es;SP
Mongagu†;SP
Monte Alegre do Sul;SP
Monte Alto;SP
Monte Apraz°vel;SP
Monte Azul Paulista;SP
Monte Castelo;SP
Monteiro Lobato;SP
Monte Mor;SP
Morro Agudo;SP
Morungaba;SP
Motuca;SP
Murutinga do Sul;SP
Nantes;SP
Narandiba;SP
Natividade da Serra;SP
NazarÇ Paulista;SP
Neves Paulista;SP
Nhandeara;SP
Nipo∆;SP
Nova Alianáa;SP
Nova Campina;SP
Nova Cana∆ Paulista;SP
Nova Castilho;SP
Nova Europa;SP
Nova Granada;SP
Nova Guataporanga;SP
Nova Independància;SP
Novais;SP
Nova LuzitÉnia;SP
Nova Odessa;SP
Novo Horizonte;SP
Nuporanga;SP
Ocauáu;SP
‡leo;SP
Ol°mpia;SP
Onda Verde;SP
Oriente;SP
Orindi£va;SP
OrlÉndia;SP
Osasco;SP
Oscar Bressane;SP
Osvaldo Cruz;SP
Ourinhos;SP
Ouroeste;SP
Ouro Verde;SP
Pacaembu;SP
Palestina;SP
Palmares Paulista;SP
Palmeira DÔoeste;SP
Palmital;SP
Panorama;SP
Paraguaáu Paulista;SP
Paraibuna;SP
Para°so;SP
Paranapanema;SP
Paranapu∆;SP
Parapu∆;SP
Pardinho;SP
Pariquera-aáu;SP
Parisi;SP
Patroc°nio Paulista;SP
PaulicÇia;SP
Paul°nia;SP
PaulistÉnia;SP
Paulo de Faria;SP
Pederneiras;SP
Pedra Bela;SP
Pedran¢polis;SP
Pedregulho;SP
Pedreira;SP
Pedrinhas Paulista;SP
Pedro de Toledo;SP
Pen†polis;SP
Pereira Barreto;SP
Pereiras;SP
Peru°be;SP
Piacatu;SP
Piedade;SP
Pilar do Sul;SP
Pindamonhangaba;SP
Pindorama;SP
Pinhalzinho;SP
Piquerobi;SP
Piquete;SP
Piracaia;SP
Piracicaba;SP
Piraju;SP
Piraju°;SP
Pirangi;SP
Pirapora do Bom Jesus;SP
Pirapozinho;SP
Pirassununga;SP
Piratininga;SP
Pitangueiras;SP
Planalto;SP
Platina;SP
Po†;SP
Poloni;SP
PompÇia;SP
Ponga°;SP
Pontal;SP
Pontalinda;SP
Pontes Gestal;SP
Populina;SP
Porangaba;SP
Porto Feliz;SP
Porto Ferreira;SP
Potim;SP
Potirendaba;SP
Pracinha;SP
Prad¢polis;SP
Praia Grande;SP
PratÉnia;SP
Presidente Alves;SP
Presidente Bernardes;SP
Presidente Epit†cio;SP
Presidente Prudente;SP
Presidente Venceslau;SP
Promiss∆o;SP
Quadra;SP
Quat†;SP
Queiroz;SP
Queluz;SP
Quintana;SP
Rafard;SP
Rancharia;SP
Redená∆o da Serra;SP
Regente Feij¢;SP
Regin¢polis;SP
Registro;SP
Restinga;SP
Ribeira;SP
Ribeir∆o Bonito;SP
Ribeir∆o Branco;SP
Ribeir∆o Corrente;SP
Ribeir∆o do Sul;SP
Ribeir∆o Dos ÷ndios;SP
Ribeir∆o Grande;SP
Ribeir∆o Pires;SP
Ribeir∆o Preto;SP
Riversul;SP
Rifaina;SP
Rinc∆o;SP
Rin¢polis;SP
Rio Claro;SP
Rio Das Pedras;SP
Rio Grande da Serra;SP
RiolÉndia;SP
Rosana;SP
Roseira;SP
Rubi†cea;SP
RubinÇia;SP
Sabino;SP
Sagres;SP
Sales;SP
Sales Oliveira;SP
Sales¢polis;SP
Salmour∆o;SP
Saltinho;SP
Salto;SP
Salto de Pirapora;SP
Salto Grande;SP
Sandovalina;SP
Santa AdÇlia;SP
Santa Albertina;SP
Santa B†rbara DÔoeste;SP
Santa Branca;SP
Santa Clara DÔoeste;SP
Santa Cruz da Conceiá∆o;SP
Santa Cruz da Esperanáa;SP
Santa Cruz Das Palmeiras;SP
Santa Cruz do Rio Pardo;SP
Santa Ernestina;SP
Santa fÇ do Sul;SP
Santa Gertrudes;SP
Santa Isabel;SP
Santa L£cia;SP
Santa Maria da Serra;SP
Santa Mercedes;SP
Santana da Ponte Pensa;SP
Santana de Parna°ba;SP
Santa Rita DÔoeste;SP
Santa Rita do Passa Quatro;SP
Santa Rosa de Viterbo;SP
Santa Salete;SP
Santo Anast†cio;SP
Santo AndrÇ;SP
Santo Antìnio da Alegria;SP
Santo Antìnio de Posse;SP
Santo Antìnio do Aracangu†;SP
Santo Antìnio do Jardim;SP
Santo Antìnio do Pinhal;SP
Santo Expedito;SP
Sant¢polis do Aguape°;SP
Santos;SP
S∆o Bento do Sapuca°;SP
S∆o Bernardo do Campo;SP
S∆o Caetano do Sul;SP
S∆o Carlos;SP
S∆o Francisco;SP
S∆o Jo∆o da Boa Vista;SP
S∆o Jo∆o Das Duas Pontes;SP
S∆o Jo∆o de Iracema;SP
S∆o Jo∆o do Pau DÔalho;SP
S∆o Joaquim da Barra;SP
S∆o JosÇ da Bela Vista;SP
S∆o JosÇ do Barreiro;SP
S∆o JosÇ do Rio Pardo;SP
S∆o JosÇ do Rio Preto;SP
S∆o JosÇ Dos Campos;SP
S∆o Lourenáo da Serra;SP
S∆o Lu°s do Paraitinga;SP
S∆o Manuel;SP
S∆o Miguel Arcanjo;SP
S∆o Paulo;SP
S∆o Pedro;SP
S∆o Pedro do Turvo;SP
S∆o Roque;SP
S∆o Sebasti∆o;SP
S∆o Sebasti∆o da Grama;SP
S∆o Sim∆o;SP
S∆o Vicente;SP
Sarapu°;SP
Sarutai†;SP
Sebastian¢polis do Sul;SP
Serra Azul;SP
Serrana;SP
Serra Negra;SP
Sert∆ozinho;SP
Sete Barras;SP
Sever°nia;SP
Silveiras;SP
Socorro;SP
Sorocaba;SP
Sud Mennucci;SP
SumarÇ;SP
Suzano;SP
Suzan†polis;SP
Tabapu∆;SP
Tabatinga;SP
Tabo∆o da Serra;SP
Taciba;SP
Tagua°;SP
Taiaáu;SP
Tai£va;SP
Tamba£;SP
Tanabi;SP
Tapira°;SP
Tapiratiba;SP
Taquaral;SP
Taquaritinga;SP
Taquarituba;SP
Taquariva°;SP
Tarabai;SP
Tarum∆;SP
Tatu°;SP
TaubatÇ;SP
Tejup†;SP
Teodoro Sampaio;SP
Terra Roxa;SP
Tietà;SP
Timburi;SP
Torre de Pedra;SP
Torrinha;SP
Trabiju;SP
TremembÇ;SP
Tràs Fronteiras;SP
Tuiuti;SP
Tup∆;SP
Tupi Paulista;SP
Turi£ba;SP
Turmalina;SP
Ubarana;SP
Ubatuba;SP
Ubirajara;SP
Uchoa;SP
Uni∆o Paulista;SP
UrÉnia;SP
Uru;SP
Urupàs;SP
Valentim Gentil;SP
Valinhos;SP
Valpara°so;SP
Vargem;SP
Vargem Grande do Sul;SP
Vargem Grande Paulista;SP
V†rzea Paulista;SP
Vera Cruz;SP
Vinhedo;SP
Viradouro;SP
Vista Alegre do Alto;SP
Vit¢ria Brasil;SP
Votorantim;SP
Votuporanga;SP
Zacarias;SP
Chavantes;SP
Estiva Gerbi;SP
Abati†;PR
Adrian¢polis;PR
Agudos do Sul;PR
Almirante TamandarÇ;PR
Altamira do Paran†;PR
Altìnia;PR
Alto Paran†;PR
Alto Piquiri;PR
Alvorada do Sul;PR
Amapor∆;PR
AmpÇre;PR
Anahy;PR
Andir†;PR
∂ngulo;PR
Antonina;PR
Antìnio Olinto;PR
Apucarana;PR
Arapongas;PR
Arapoti;PR
Arapu∆;PR
Araruna;PR
Arauc†ria;PR
Ariranha do Iva°;PR
Assa°;PR
Assis Chateaubriand;PR
Astorga;PR
Atalaia;PR
Balsa Nova;PR
Bandeirantes;PR
Barbosa Ferraz;PR
Barrac∆o;PR
Barra do JacarÇ;PR
Bela Vista da Caroba;PR
Bela Vista do Para°so;PR
Bituruna;PR
Boa Esperanáa;PR
Boa Esperanáa do Iguaáu;PR
Boa Ventura de S∆o Roque;PR
Boa Vista da Aparecida;PR
Bocai£va do Sul;PR
Bom Jesus do Sul;PR
Bom Sucesso;PR
Bom Sucesso do Sul;PR
Borraz¢polis;PR
Braganey;PR
BrasilÉndia do Sul;PR
Cafeara;PR
CafelÉndia;PR
Cafezal do Sul;PR
Calif¢rnia;PR
Cambar†;PR
CambÇ;PR
Cambira;PR
Campina da Lagoa;PR
Campina do Sim∆o;PR
Campina Grande do Sul;PR
Campo Bonito;PR
Campo do Tenente;PR
Campo Largo;PR
Campo Magro;PR
Campo Mour∆o;PR
CÉndido de Abreu;PR
Cand¢i;PR
Cantagalo;PR
Capanema;PR
Capit∆o Leìnidas Marques;PR
Carambe°;PR
Carl¢polis;PR
Cascavel;PR
Castro;PR
Catanduvas;PR
Centen†rio do Sul;PR
Cerro Azul;PR
CÇu Azul;PR
Chopinzinho;PR
Cianorte;PR
Cidade Ga£cha;PR
ClevelÉndia;PR
Colombo;PR
Colorado;PR
Congonhinhas;PR
Conselheiro Mairinck;PR
Contenda;PR
CorbÇlia;PR
CornÇlio Proc¢pio;PR
Coronel Domingos Soares;PR
Coronel Vivida;PR
Corumbata° do Sul;PR
Cruzeiro do Iguaáu;PR
Cruzeiro do Oeste;PR
Cruzeiro do Sul;PR
Cruz Machado;PR
Cruzmaltina;PR
Curitiba;PR
Curi£va;PR
Diamante do Norte;PR
Diamante do Sul;PR
Diamante DÔoeste;PR
Dois Vizinhos;PR
Douradina;PR
Doutor Camargo;PR
EnÇas Marques;PR
Engenheiro Beltr∆o;PR
Esperanáa Nova;PR
Entre Rios do Oeste;PR
Espig∆o Alto do Iguaáu;PR
Farol;PR
Faxinal;PR
Fazenda Rio Grande;PR
Fànix;PR
Fernandes Pinheiro;PR
Figueira;PR
Flora°;PR
Flor da Serra do Sul;PR
Floresta;PR
Florest¢polis;PR
Fl¢rida;PR
Formosa do Oeste;PR
Foz do Iguaáu;PR
Francisco Alves;PR
Francisco Beltr∆o;PR
Foz do Jord∆o;PR
General Carneiro;PR
Godoy Moreira;PR
Goioerà;PR
Goioxim;PR
Grandes Rios;PR
Gua°ra;PR
Guairaá†;PR
Guamiranga;PR
Guapirama;PR
Guaporema;PR
Guaraci;PR
Guaraniaáu;PR
Guarapuava;PR
Guaraqueáaba;PR
Guaratuba;PR
Hon¢rio Serpa;PR
Ibaiti;PR
Ibema;PR
Ibipor∆;PR
Icara°ma;PR
Iguaraáu;PR
Iguatu;PR
Imba£;PR
Imbituva;PR
In†cio Martins;PR
Inaj†;PR
Indian¢polis;PR
Ipiranga;PR
Ipor∆;PR
Iracema do Oeste;PR
Irati;PR
Iretama;PR
ItaguajÇ;PR
ItaipulÉndia;PR
Itambarac†;PR
ItambÇ;PR
Itapejara DÔoeste;PR
Itaperuáu;PR
Ita£na do Sul;PR
Iva°;PR
Ivaipor∆;PR
IvatÇ;PR
Ivatuba;PR
Jaboti;PR
Jacarezinho;PR
Jaguapit∆;PR
Jaguaria°va;PR
Jandaia do Sul;PR
Jani¢polis;PR
Japira;PR
Japur†;PR
Jardim Alegre;PR
Jardim Olinda;PR
Jataizinho;PR
Jesu°tas;PR
Joaquim T†vora;PR
Jundia° do Sul;PR
Juranda;PR
Jussara;PR
KalorÇ;PR
Lapa;PR
Laranjal;PR
Laranjeiras do Sul;PR
Le¢polis;PR
Lidian¢polis;PR
Lindoeste;PR
Loanda;PR
Lobato;PR
Londrina;PR
Luiziana;PR
Lunardelli;PR
Lupion¢polis;PR
Mallet;PR
Mamborà;PR
Mandaguaáu;PR
Mandaguari;PR
Mandirituba;PR
Manfrin¢polis;PR
Mangueirinha;PR
Manoel Ribas;PR
Marechal CÉndido Rondon;PR
Maria Helena;PR
Marialva;PR
MarilÉndia do Sul;PR
Marilena;PR
Mariluz;PR
Maring†;PR
Mari¢polis;PR
Marip†;PR
Marmeleiro;PR
Marquinho;PR
Marumbi;PR
MatelÉndia;PR
Matinhos;PR
Mato Rico;PR
Mau† da Serra;PR
Medianeira;PR
Mercedes;PR
Mirador;PR
Miraselva;PR
Missal;PR
Moreira Sales;PR
Morretes;PR
Munhoz de Melo;PR
Nossa Senhora Das Graáas;PR
Nova Alianáa do Iva°;PR
Nova AmÇrica da Colina;PR
Nova Aurora;PR
Nova Cantu;PR
Nova Esperanáa;PR
Nova Esperanáa do Sudoeste;PR
Nova F†tima;PR
Nova Laranjeiras;PR
Nova Londrina;PR
Nova Ol°mpia;PR
Nova Santa B†rbara;PR
Nova Santa Rosa;PR
Nova Prata do Iguaáu;PR
Nova Tebas;PR
Novo Itacolomi;PR
Ortigueira;PR
Ourizona;PR
Ouro Verde do Oeste;PR
Paiáandu;PR
Palmas;PR
Palmeira;PR
Palmital;PR
Palotina;PR
Para°so do Norte;PR
Paranacity;PR
Paranagu†;PR
Paranapoema;PR
Paranava°;PR
Pato Bragado;PR
Pato Branco;PR
Paula Freitas;PR
Paulo Frontin;PR
Peabiru;PR
Perobal;PR
PÇrola;PR
PÇrola DÔoeste;PR
Piàn;PR
Pinhais;PR
Pinhal∆o;PR
Pinhal de S∆o Bento;PR
Pinh∆o;PR
Pira° do Sul;PR
Piraquara;PR
Pitanga;PR
Pitangueiras;PR
Planaltina do Paran†;PR
Planalto;PR
Ponta Grossa;PR
Pontal do Paran†;PR
Porecatu;PR
Porto Amazonas;PR
Porto Barreiro;PR
Porto Rico;PR
Porto Vit¢ria;PR
Prado Ferreira;PR
Pranchita;PR
Presidente Castelo Branco;PR
Primeiro de Maio;PR
Prudent¢polis;PR
Quarto Centen†rio;PR
Quatigu†;PR
Quatro Barras;PR
Quatro Pontes;PR
Quedas do Iguaáu;PR
Querància do Norte;PR
Quinta do Sol;PR
Quitandinha;PR
RamilÉndia;PR
Rancho Alegre;PR
Rancho Alegre DÔoeste;PR
Realeza;PR
Rebouáas;PR
Renascenáa;PR
Reserva;PR
Reserva do Iguaáu;PR
Ribeir∆o Claro;PR
Ribeir∆o do Pinhal;PR
Rio Azul;PR
Rio Bom;PR
Rio Bonito do Iguaáu;PR
Rio Branco do Iva°;PR
Rio Branco do Sul;PR
Rio Negro;PR
RolÉndia;PR
Roncador;PR
Rondon;PR
Ros†rio do Iva°;PR
Sab†udia;PR
Salgado Filho;PR
Salto do ItararÇ;PR
Salto do Lontra;PR
Santa AmÇlia;PR
Santa Cec°lia do Pav∆o;PR
Santa Cruz de Monte Castelo;PR
Santa fÇ;PR
Santa Helena;PR
Santa Inàs;PR
Santa Isabel do Iva°;PR
Santa Izabel do Oeste;PR
Santa L£cia;PR
Santa Maria do Oeste;PR
Santa Mariana;PR
Santa Mìnica;PR
Santana do ItararÇ;PR
Santa Tereza do Oeste;PR
Santa Terezinha de Itaipu;PR
Santo Antìnio da Platina;PR
Santo Antìnio do Caiu†;PR
Santo Antìnio do Para°so;PR
Santo Antìnio do Sudoeste;PR
Santo In†cio;PR
S∆o Carlos do Iva°;PR
S∆o Jerìnimo da Serra;PR
S∆o Jo∆o;PR
S∆o Jo∆o do Caiu†;PR
S∆o Jo∆o do Iva°;PR
S∆o Jo∆o do Triunfo;PR
S∆o Jorge DÔoeste;PR
S∆o Jorge do Iva°;PR
S∆o Jorge do Patroc°nio;PR
S∆o JosÇ da Boa Vista;PR
S∆o JosÇ Das Palmeiras;PR
S∆o JosÇ Dos Pinhais;PR
S∆o Manoel do Paran†;PR
S∆o Mateus do Sul;PR
S∆o Miguel do Iguaáu;PR
S∆o Pedro do Iguaáu;PR
S∆o Pedro do Iva°;PR
S∆o Pedro do Paran†;PR
S∆o Sebasti∆o da Amoreira;PR
S∆o TomÇ;PR
Sapopema;PR
Sarandi;PR
Saudade do Iguaáu;PR
SengÇs;PR
Serran¢polis do Iguaáu;PR
Sertaneja;PR
Sertan¢polis;PR
Siqueira Campos;PR
Sulina;PR
Tamarana;PR
Tamboara;PR
Tapejara;PR
Tapira;PR
Teixeira Soares;PR
Telàmaco Borba;PR
Terra Boa;PR
Terra Rica;PR
Terra Roxa;PR
Tibagi;PR
Tijucas do Sul;PR
Toledo;PR
Tomazina;PR
Tràs Barras do Paran†;PR
Tunas do Paran†;PR
Tuneiras do Oeste;PR
Tup∆ssi;PR
Turvo;PR
Ubirat∆;PR
Umuarama;PR
Uni∆o da Vit¢ria;PR
Uniflor;PR
Ura°;PR
Wenceslau Braz;PR
Ventania;PR
Vera Cruz do Oeste;PR
Verà;PR
Vila Alta;PR
Doutor Ulysses;PR
Virmond;PR
Vitorino;PR
Xambrà;PR
Abdon Batista;SC
Abelardo Luz;SC
AgrolÉndia;SC
Agronìmica;SC
µgua Doce;SC
µguas de Chapec¢;SC
µguas Frias;SC
µguas Mornas;SC
Alfredo Wagner;SC
Alto Bela Vista;SC
Anchieta;SC
Angelina;SC
Anita Garibaldi;SC
Anit†polis;SC
Antìnio Carlos;SC
Api£na;SC
Arabut∆;SC
Araquari;SC
Ararangu†;SC
ArmazÇm;SC
Arroio Trinta;SC
Arvoredo;SC
Ascurra;SC
Atalanta;SC
Aurora;SC
Balne†rio Arroio do Silva;SC
Balne†rio Cambori£;SC
Balne†rio Barra do Sul;SC
Balne†rio Gaivota;SC
Bandeirante;SC
Barra Bonita;SC
Barra Velha;SC
Bela Vista do Toldo;SC
Belmonte;SC
Benedito Novo;SC
Biguaáu;SC
Blumenau;SC
Bocaina do Sul;SC
Bombinhas;SC
Bom Jardim da Serra;SC
Bom Jesus;SC
Bom Jesus do Oeste;SC
Bom Retiro;SC
Botuver†;SC
Braáo do Norte;SC
Braáo do Trombudo;SC
Brun¢polis;SC
Brusque;SC
Caáador;SC
Caibi;SC
Calmon;SC
Cambori£;SC
Cap∆o Alto;SC
Campo Alegre;SC
Campo Belo do Sul;SC
Campo Erà;SC
Campos Novos;SC
Canelinha;SC
Canoinhas;SC
Capinzal;SC
Capivari de Baixo;SC
Catanduvas;SC
Caxambu do Sul;SC
Celso Ramos;SC
Cerro Negro;SC
Chapad∆o do Lageado;SC
Chapec¢;SC
Cocal do Sul;SC
Conc¢rdia;SC
Cordilheira Alta;SC
Coronel Freitas;SC
Coronel Martins;SC
Corup†;SC
Correia Pinto;SC
Crici£ma;SC
Cunha Por∆;SC
Cunhata°;SC
Curitibanos;SC
Descanso;SC
Dion°sio Cerqueira;SC
Dona Emma;SC
Doutor Pedrinho;SC
Entre Rios;SC
Ermo;SC
Erval Velho;SC
Faxinal Dos Guedes;SC
Flor do Sert∆o;SC
Florian¢polis;SC
Formosa do Sul;SC
Forquilhinha;SC
Fraiburgo;SC
Frei RogÇrio;SC
Galv∆o;SC
Garopaba;SC
Garuva;SC
Gaspar;SC
Governador Celso Ramos;SC
Gr∆o Par†;SC
Gravatal;SC
Guabiruba;SC
Guaraciaba;SC
Guaramirim;SC
Guaruj† do Sul;SC
Guatamb£;SC
Herval DÔoeste;SC
Ibiam;SC
IbicarÇ;SC
Ibirama;SC
Iáara;SC
Ilhota;SC
Imaru°;SC
Imbituba;SC
Imbuia;SC
Indaial;SC
Iomerà;SC
Ipira;SC
Ipor∆ do Oeste;SC
Ipuaáu;SC
Ipumirim;SC
Iraceminha;SC
Irani;SC
Irati;SC
Irine¢polis;SC
It†;SC
Itai¢polis;SC
Itaja°;SC
Itapema;SC
Itapiranga;SC
Itapo†;SC
Ituporanga;SC
Jabor†;SC
Jacinto Machado;SC
Jaguaruna;SC
Jaragu† do Sul;SC
Jardin¢polis;SC
Joaáaba;SC
Joinville;SC
JosÇ Boiteux;SC
Jupi†;SC
Lacerd¢polis;SC
Lages;SC
Laguna;SC
Lajeado Grande;SC
Laurentino;SC
Lauro Muller;SC
Lebon RÇgis;SC
Leoberto Leal;SC
Lind¢ia do Sul;SC
Lontras;SC
Luiz Alves;SC
Luzerna;SC
Macieira;SC
Mafra;SC
Major Gercino;SC
Major Vieira;SC
Maracaj†;SC
Maravilha;SC
Marema;SC
Massaranduba;SC
Matos Costa;SC
Meleiro;SC
Mirim Doce;SC
Modelo;SC
Monda°;SC
Monte Carlo;SC
Monte Castelo;SC
Morro da Fumaáa;SC
Morro Grande;SC
Navegantes;SC
Nova Erechim;SC
Nova Itaberaba;SC
Nova Trento;SC
Nova Veneza;SC
Novo Horizonte;SC
Orleans;SC
Otac°lio Costa;SC
Ouro;SC
Ouro Verde;SC
Paial;SC
Painel;SC
Palhoáa;SC
Palma Sola;SC
Palmeira;SC
Palmitos;SC
Papanduva;SC
Para°so;SC
Passo de Torres;SC
Passos Maia;SC
Paulo Lopes;SC
Pedras Grandes;SC
Penha;SC
Peritiba;SC
Pescaria Brava;SC
PetrolÉndia;SC
Piáarras;SC
Pinhalzinho;SC
Pinheiro Preto;SC
Piratuba;SC
Planalto Alegre;SC
Pomerode;SC
Ponte Alta;SC
Ponte Alta do Norte;SC
Ponte Serrada;SC
Porto Belo;SC
Porto Uni∆o;SC
Pouso Redondo;SC
Praia Grande;SC
Presidente Castelo Branco;SC
Presidente Get£lio;SC
Presidente Nereu;SC
Princesa;SC
Quilombo;SC
Rancho Queimado;SC
Rio Das Antas;SC
Rio do Campo;SC
Rio do Oeste;SC
Rio Dos Cedros;SC
Rio do Sul;SC
Rio Fortuna;SC
Rio Negrinho;SC
Rio Rufino;SC
Riqueza;SC
Rodeio;SC
RomelÉndia;SC
Salete;SC
Saltinho;SC
Salto Veloso;SC
Sang∆o;SC
Santa Cec°lia;SC
Santa Helena;SC
Santa Rosa de Lima;SC
Santa Rosa do Sul;SC
Santa Terezinha;SC
Santa Terezinha do Progresso;SC
Santiago do Sul;SC
Santo Amaro da Imperatriz;SC
S∆o Bernardino;SC
S∆o Bento do Sul;SC
S∆o Bonif†cio;SC
S∆o Carlos;SC
S∆o Cristov∆o do Sul;SC
S∆o Domingos;SC
S∆o Francisco do Sul;SC
S∆o Jo∆o do Oeste;SC
S∆o Jo∆o Batista;SC
S∆o Jo∆o do Itaperi£;SC
S∆o Jo∆o do Sul;SC
S∆o Joaquim;SC
S∆o JosÇ;SC
S∆o JosÇ do Cedro;SC
S∆o JosÇ do Cerrito;SC
S∆o Lourenáo do Oeste;SC
S∆o Ludgero;SC
S∆o Martinho;SC
S∆o Miguel da Boa Vista;SC
S∆o Miguel do Oeste;SC
S∆o Pedro de AlcÉntara;SC
Saudades;SC
Schroeder;SC
Seara;SC
Serra Alta;SC
Sider¢polis;SC
Sombrio;SC
Sul Brasil;SC
Tai¢;SC
Tangar†;SC
Tigrinhos;SC
Tijucas;SC
TimbÇ do Sul;SC
Timb¢;SC
Timb¢ Grande;SC
Tràs Barras;SC
Treviso;SC
Treze de Maio;SC
Treze T°lias;SC
Trombudo Central;SC
Tubar∆o;SC
Tun†polis;SC
Turvo;SC
Uni∆o do Oeste;SC
Urubici;SC
Urupema;SC
Urussanga;SC
Varge∆o;SC
Vargem;SC
Vargem Bonita;SC
Vidal Ramos;SC
Videira;SC
Vitor Meireles;SC
Witmarsum;SC
Xanxerà;SC
Xavantina;SC
Xaxim;SC
ZortÇa;SC
Balne†rio Rinc∆o;SC
Acegu†;RS
µgua Santa;RS
Agudo;RS
Ajuricaba;RS
Alecrim;RS
Alegrete;RS
Alegria;RS
Almirante TamandarÇ do Sul;RS
Alpestre;RS
Alto Alegre;RS
Alto Feliz;RS
Alvorada;RS
Amaral Ferrador;RS
Ametista do Sul;RS
AndrÇ da Rocha;RS
Anta Gorda;RS
Antìnio Prado;RS
ArambarÇ;RS
Araric†;RS
Aratiba;RS
Arroio do Meio;RS
Arroio do Sal;RS
Arroio do Padre;RS
Arroio Dos Ratos;RS
Arroio do Tigre;RS
Arroio Grande;RS
Arvorezinha;RS
Augusto Pestana;RS
µurea;RS
BagÇ;RS
Balne†rio Pinhal;RS
Bar∆o;RS
Bar∆o de Cotegipe;RS
Bar∆o do Triunfo;RS
Barrac∆o;RS
Barra do Guarita;RS
Barra do Quara°;RS
Barra do Ribeiro;RS
Barra do Rio Azul;RS
Barra Funda;RS
Barros Cassal;RS
Benjamin Constant do Sul;RS
Bento Gonáalves;RS
Boa Vista Das Miss‰es;RS
Boa Vista do Buric†;RS
Boa Vista do Cadeado;RS
Boa Vista do Incra;RS
Boa Vista do Sul;RS
Bom Jesus;RS
Bom Princ°pio;RS
Bom Progresso;RS
Bom Retiro do Sul;RS
Boqueir∆o do Le∆o;RS
Bossoroca;RS
Bozano;RS
Braga;RS
Brochier;RS
Buti†;RS
Caáapava do Sul;RS
Cacequi;RS
Cachoeira do Sul;RS
Cachoeirinha;RS
Cacique Doble;RS
CaibatÇ;RS
Caiáara;RS
Camaqu∆;RS
Camargo;RS
Cambar† do Sul;RS
Campestre da Serra;RS
Campina Das Miss‰es;RS
Campinas do Sul;RS
Campo Bom;RS
Campo Novo;RS
Campos Borges;RS
Candel†ria;RS
CÉndido God¢i;RS
Candiota;RS
Canela;RS
Canguáu;RS
Canoas;RS
Canudos do Vale;RS
Cap∆o Bonito do Sul;RS
Cap∆o da Canoa;RS
Cap∆o do Cip¢;RS
Cap∆o do Le∆o;RS
Capivari do Sul;RS
Capela de Santana;RS
Capit∆o;RS
Carazinho;RS
Cara†;RS
Carlos Barbosa;RS
Carlos Gomes;RS
Casca;RS
Caseiros;RS
Catu°pe;RS
Caxias do Sul;RS
Centen†rio;RS
Cerrito;RS
Cerro Branco;RS
Cerro Grande;RS
Cerro Grande do Sul;RS
Cerro Largo;RS
Chapada;RS
Charqueadas;RS
Charrua;RS
Chiapetta;RS
Chu°;RS
Chuvisca;RS
Cidreira;RS
Cir°aco;RS
Colinas;RS
Colorado;RS
Condor;RS
Constantina;RS
Coqueiro Baixo;RS
Coqueiros do Sul;RS
Coronel Barros;RS
Coronel Bicaco;RS
Coronel Pilar;RS
Cotipor∆;RS
Coxilha;RS
Crissiumal;RS
Cristal;RS
Cristal do Sul;RS
Cruz Alta;RS
Cruzaltense;RS
Cruzeiro do Sul;RS
David Canabarro;RS
Derrubadas;RS
Dezesseis de Novembro;RS
Dilermando de Aguiar;RS
Dois Irm∆os;RS
Dois Irm∆os Das Miss‰es;RS
Dois Lajeados;RS
Dom Feliciano;RS
Dom Pedro de AlcÉntara;RS
Dom Pedrito;RS
Dona Francisca;RS
Doutor Maur°cio Cardoso;RS
Doutor Ricardo;RS
Eldorado do Sul;RS
Encantado;RS
Encruzilhada do Sul;RS
Engenho Velho;RS
Entre-iju°s;RS
Entre Rios do Sul;RS
Erebango;RS
Erechim;RS
Ernestina;RS
Herval;RS
Erval Grande;RS
Erval Seco;RS
Esmeralda;RS
Esperanáa do Sul;RS
Espumoso;RS
Estaá∆o;RS
EstÉncia Velha;RS
Esteio;RS
Estrela;RS
Estrela Velha;RS
Eugànio de Castro;RS
Fagundes Varela;RS
Farroupilha;RS
Faxinal do Soturno;RS
Faxinalzinho;RS
Fazenda Vilanova;RS
Feliz;RS
Flores da Cunha;RS
Floriano Peixoto;RS
Fontoura Xavier;RS
Formigueiro;RS
Forquetinha;RS
